Datetime,Tweet Id,Text,location,Media,TweetUrl,Hashtags,Retweets Counts,Like Counts
2022-01-10 21:10:46,1480648334008324098,"@aproko_doctor E be like we go advise make u drink water tonight and try sleep  
If I hear pimm we will protest o",ibadan ,[],https://twitter.com/user/status/1480648334008324098,Doctor Protest,1,66
2022-01-10 20:31:51,1480638538530000900,@Zargoonaa K Cool your the Doctor you know better then me'  'humanity comes first' but phaary belt ka Ahtjaaaj (protest)🙋 ha mera,"Birmingham, England",[],https://twitter.com/user/status/1480638538530000900,Doctor Protest,0,1
2022-01-10 16:31:44,1480578112710582277,@RKMittal9 @mansukhmandviya @NMC_IND @IMAIndiaOrg @jayalal10 @DrJayeshLele @RajanSharmaIMA @docraviw @FordaIndia… https://t.co/edeNLFXCxP,"Mumbai, India",[],https://twitter.com/user/status/1480578112710582277,Doctor Protest,1,1
2022-01-10 16:29:41,1480577596777631744,@RKMittal9 @Indian__doctor @PMOIndia @narendramodi @AmitShah @rajnathsingh @nitin_gadkari @myogiadityanath… https://t.co/AaHephU5pH,"Mumbai, India",[],https://twitter.com/user/status/1480577596777631744,Doctor Protest,1,1
2022-01-10 15:48:01,1480567109868478466,"The job of a doctor is to examine the patients and relieve their pain,  not to protest, but the selected in compete… https://t.co/sX55xKNGGt","Quetta, Pakistan",[],https://twitter.com/user/status/1480567109868478466,Doctor Protest,12,6
2022-01-10 15:06:27,1480556650180141056,"55% medical colleges, not just seats, r reserved BASED ON CAPITATION

No protest ever!

ASSOCIATIONS funded by them… https://t.co/3zjiav4lJq",,[],https://twitter.com/user/status/1480556650180141056,Doctor Protest,2,2
2022-01-10 15:06:10,1480556578348539906,@sudhaShenoy1 @Indian__doctor @PMOIndia @narendramodi @AmitShah @rajnathsingh @nitin_gadkari @myogiadityanath… https://t.co/fpVyfytTYn,,[],https://twitter.com/user/status/1480556578348539906,Doctor Protest,1,1
2022-01-10 08:40:08,1480459429426302977,Ever seen doctors protest to increase intern &amp; resident seats in such overloaded institutes so that they can work i… https://t.co/28g54XdahE,,[],https://twitter.com/user/status/1480459429426302977,Doctor Protest,3,3
2022-01-10 08:38:55,1480459125096017920,@TheQuint @FordaIndia @AnujAggarwal44 @QuintMyReport Ever seen doctors protest to increase intern &amp; resident seats… https://t.co/j8pQyUDwPZ,,[],https://twitter.com/user/status/1480459125096017920,Doctor Protest,3,3
2022-01-10 08:29:44,1480456812948336642,@CDCDirector Every day you do not resign in protest will hang over your head and tarnish your legacy as a doctor and a human forever.,,[],https://twitter.com/user/status/1480456812948336642,Doctor Protest,0,0
