Datetime,Tweet Id,Text,location,Media,TweetUrl,Hashtags,Retweets Counts,Like Counts,clean_text,clean_text1
2022-01-15 08:52:58,1482274601304481793,@aproko_doctor A protest to end all protests. One that will grind the corrupt machine to a halt,,[],https://twitter.com/user/status/1482274601304481793,Doctor Protest,0,1, doctor a protest to end all protests  one that will grind the corrupt machine to a halt,doctor protest end protest one grind corrupt machin halt
2022-01-15 06:45:21,1482242484721922051,"55% medical colleges, not just seats, r reserved BASED ON CAPITATION

No protest ever!

ASSOCIATIONS funded by them… https://t.co/KgDAX7Sj6M",,[],https://twitter.com/user/status/1482242484721922051,Doctor Protest,4,3,55  medical colleges  not just seats  r reserved based on capitation no protest ever  associations funded by them...,55 medic colleg seat r reserv base capit protest ever associ fund
2022-01-15 06:45:08,1482242430657495042,@MeritUnity @PMOIndia @MoHFW_INDIA @mansukhmandviya @rashtrapatibhvn @nitin_gadkari @BJP4India @RSSorg @JPNadda… https://t.co/iIyRFGPdyu,,[],https://twitter.com/user/status/1482242430657495042,Doctor Protest,2,2, india  gadkari ...,india gadkari
2022-01-15 04:45:49,1482212400640184322,"@aproko_doctor Please come to think of it, during the time of protest, no police was on the road or at work and the… https://t.co/O5ZW7u3dNo",Worldwide,[],https://twitter.com/user/status/1482212400640184322,Doctor Protest,0,0, doctor please come to think of it  during the time of protest  no police was on the road or at work and the...,doctor pleas come think time protest polic road work
2022-01-15 02:50:52,1482183473603481603,"Crying is passive resistance, laughing is active protest.Don't talk, said the doctor's wife softly, let's all be qu… https://t.co/YoCB7ORqrF",,[],https://twitter.com/user/status/1482183473603481603,Doctor Protest,1,8,crying is passive resistance  laughing is active protest don t talk  said the doctor s wife softly  let s all be qu...,cri passiv resist laugh activ protest talk said doctor wife soft let qu
2022-01-15 02:36:19,1482179813645615104,Ever heard doctors protest to increase intern &amp; resident seats in such overloaded institutes so that they can work… https://t.co/CIHRmNtGVE,,[],https://twitter.com/user/status/1482179813645615104,Doctor Protest,3,3,ever heard doctors protest to increase intern  amp  resident seats in such overloaded institutes so that they can work...,ever heard doctor protest increas intern amp resid seat overload institut work
2022-01-15 02:36:00,1482179733790273536,@jeevika_shiv @SonaliVaid Ever heard doctors protest to increase intern &amp; resident seats in such overloaded institu… https://t.co/Jw13zw7Eeo,,[],https://twitter.com/user/status/1482179733790273536,Doctor Protest,3,3, shiv ever heard doctors protest to increase intern  amp  resident seats in such overloaded institu...,shiv ever heard doctor protest increas intern amp resid seat overload institu
2022-01-15 02:27:14,1482177526436823042,"55% medical colleges, not just seats, r reserved BASED ON CAPITATION

No protest ever!

ASSOCIATIONS funded by them… https://t.co/LIi08tL9Bv",,[],https://twitter.com/user/status/1482177526436823042,Doctor Protest,3,3,55  medical colleges  not just seats  r reserved based on capitation no protest ever  associations funded by them...,55 medic colleg seat r reserv base capit protest ever associ fund
2022-01-15 02:27:02,1482177477762236419,@Drsuryadnb @NBEMS_INDIA @FordaIndia @AIIMSRDA @apjuda1 @karnatakarda @rda_cnbc @DNBdoctors @neetpg2022… https://t.co/DCvoawCBqU,,[],https://twitter.com/user/status/1482177477762236419,Doctor Protest,3,3, india  cnbc ...,india cnbc
2022-01-15 00:58:48,1482155272567242758,"@snakepharmacist At first they shook their head in protest, but then they set their chin down on the doctor’s hands… https://t.co/5v4yROLUqZ",mun is 23,[],https://twitter.com/user/status/1482155272567242758,Doctor Protest,0,0,at first they shook their head in protest  but then they set their chin down on the doctor's hands...,first shook head protest set chin doctor hand
2022-01-14 23:34:17,1482134000579887108,"„And you know what, I'd love to forget it all, every last bit of it, but I don't, what ever. 'Cause this is what I… https://t.co/RFbXqbWLJF",Germany,[],https://twitter.com/user/status/1482134000579887108,Doctor Protest,0,0,",,and you know what  i d love to forget it all  every last bit of it  but i don t  what ever   cause this is what i...",know love forget everi last bit ever caus
2022-01-14 22:47:06,1482122128472576000,Thank God there is one brave Doctor willing to write the inconvenient truth. The more “they” protest the more I kno… https://t.co/3VqzNL57JD,,[],https://twitter.com/user/status/1482122128472576000,Doctor Protest,0,0,"thank god there is one brave doctor willing to write the inconvenient truth  the more ""they"" protest the more i kno...",thank god one brave doctor will write inconveni truth protest kno
2022-01-14 17:36:52,1482044057153150978,She told state lawmakers that vaccines kill; she touted dubious COVID-19 treatments on talk radio; she stormed a Bi… https://t.co/jw4ca7zxTP,"Tiffin, Ohio",[],https://twitter.com/user/status/1482044057153150978,Doctor Protest,0,0,she told state lawmakers that vaccines kill  she touted dubious covid 19 treatments on talk radio  she stormed a bi...,told state lawmak vaccin kill tout dubious covid 19 treatment talk radio storm bi
2022-01-14 17:25:16,1482041137691037700,I can- they cannot make you go back *to them.* You can be compelled to visit A doctor but authorities cannot make y… https://t.co/D8o2ogo3TQ,,[],https://twitter.com/user/status/1482041137691037700,Doctor Protest,1,0,i can  they cannot make you go back  to them  you can be compelled to visit a doctor but authorities cannot make y...,cannot make go back compel visit doctor author cannot make
2022-01-14 14:40:20,1481999630699221005,"if you genuinely think that heterosexuality needs occasional celebration, or reactionary hashtags like… https://t.co/beKQivbGG2",Earth,[],https://twitter.com/user/status/1481999630699221005,Doctor Protest,0,11,if you genuinely think that heterosexuality needs occasional celebration  or reactionary hashtags like...,genuin think heterosexu need occasion celebr reactionari hashtag like
2022-01-14 13:12:11,1481977444198682627,@melaniedoak Protest group needs to go to the Minister's electoral office and whip their shirts off and ask if they… https://t.co/gtjUaKwmTT,"Stolen Land, Australia ",[],https://twitter.com/user/status/1481977444198682627,Doctor Protest,0,0,protest group needs to go to the minister s electoral office and whip their shirts off and ask if they...,protest group need go minist elector offic whip shirt ask
2022-01-14 12:59:37,1481974281156374532,"If you are a doctor or a nurse or a teacher and you get a criminal record, you can’t do your job anymore. So all th… https://t.co/1dPR8p5LgZ","London, England",[],https://twitter.com/user/status/1481974281156374532,Doctor Protest,0,0,if you are a doctor or a nurse or a teacher and you get a criminal record  you can't do your job anymore  so all th...,doctor nurs teacher get crimin record job anymor th
2022-01-14 03:29:37,1481830835854536704,"55% medical colleges, not just seats, r reserved BASED ON CAPITATION

No protest ever!

ASSOCIATIONS funded by them… https://t.co/zcnIyrzJSs",,[],https://twitter.com/user/status/1481830835854536704,Doctor Protest,3,4,55  medical colleges  not just seats  r reserved based on capitation no protest ever  associations funded by them...,55 medic colleg seat r reserv base capit protest ever associ fund
